Enabled,Id,CSI,UnitMultiplier,Exchange,Currency,OurDescription,CSI_Description
1,AEX,320,1,EURONEXT-AMSTERDAM,EUR,Netherlands equity index AEX,AEX Index
1,AUD,66,1,CME,USD,AUDUSD currency,Australian Dollar
1,BITCOIN,20394,1,CME,USD,Micro Bitcoin,micro Bitcoin
1,BOBL,553,1,EUREX,EUR,German 5 year bond Bobl,Euro German Bobl
1,BTP,1490,1,EUREX,EUR,Italian 10 year bond BTP,Long-Term Italian Govt Bond-BTP
1,BUND,552,1,EUREX,EUR,German 10 year bond Bund,Euro German Bund
1,CAC,79,1,EURONEXT-PARIS,EUR,French equity index CAC40,CAC 40 Index
1,COPPER,809,0.01,COMEX,USD,Copper,Copper
1,CORN,412,1,CBT,USD,Corn,Corn
1,CRUDE_W,856,1,NYMEX,USD,Light sweet crude Winter,Crude Oil
1,EDOLLAR,141,1,CME,USD,US STIR Eurodollar,Eurodollar
1,EUR,524,1,CME,USD,EURUSD currency,Euro
1,EUROSTX,530,1,EUREX,EUR,European equity index EUROSTOXX50,Euro STOXX 50 Index
1,GAS_US,869,1,NYMEX,USD,Natural gas US,Henry Hub Natural Gas
1,GBP,26,1,CME,USD,GBPUSD currency,British Pound
1,GOLD,867,1,COMEX,USD,Gold,Gold
1,JPY,65,0.01,CME,USD,JPYUSD currency,Japanese Yen
1,KOSPI,501,1,KRX,KRW,Korean equity index KOSPI,KOSPI 200 Index-KRX
1,KR10,1589,1,KRX,KRW,Korean 10 year bond,10-year Korea Treasury Bond
1,KR3,603,1,KRX,KRW,Korean 3 year bond,3-year Korea Treasury Bond -KRX
1,LEANHOG,4,1,CME,USD,Lean hogs,Lean Hogs
1,LIVECOW,2,1,CME,USD,Live cattle,Live Cattle
1,MXP,23,1,CME,USD,MEXUSD currency,Mexican Peso
1,NASDAQ,497,1,CME,USD,US equity index Nasdaq ,e-mini Nasdaq 100 Index
1,NZD,1063,1,CME,USD,NZDUSD currency,New Zealand Dollar
1,OAT,1752,1,EUREX,EUR,French 10 year bond OAT,Euro-OAT (10yr)
1,PALLAD,849,1,NYMEX,USD,Palladium,Palladium
1,PLAT,859,1,NYMEX,USD,Platinum,Platinum
1,SHATZ,554,1,EUREX,EUR,German 2 year bond Schatz,Euro German Schatz
1,SMI,214,1,EUREX,CHF,Swiss equity index SMI,Swiss Market Index
1,SOYBEAN,409,1,CBT,USD,Soybean,Soybeans
1,SP500,487,1,CME,USD,US equity index S&P500 ,e-mini S&P 500 Index
1,US10,150,1,CBT,USD,US 10 year bond note,10-Year U.S. T-Note
1,US2,382,1,CBT,USD,US 2 year bond note,2-Year U.S. T-Note
1,US20,801,1,CBT,USD,US 20 year bond,Treasury Bonds
1,US5,803,1,CBT,USD,US 5 year bond note,5-Year U.S. T-Note
