CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
2,63,2500,LC,LC%,057642,CFTC,"COT Live Cattle Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
2,64,9900,LC,LC#,057642,CFTC,"COT F+O Live Cattle Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
3,64,9901,CC,CC#,073732,CFTC,"COT F+O Cocoa Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
3,63,2501,CC,CC%,073732,CFTC,"COT Cocoa Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
4,64,9902,LH,LH#,054642,CFTC,"COT F+O Live Hogs Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
4,63,2502,LH,LH%,054642,CFTC,"COT Live Hogs Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
5,64,9903,PB,PB#,056641,CFTC,"COT F+O Pork Bellies Data",,Settlement,"",0,,,USD,"","Contracts",1,,,1995-03-21,2008-07-22,"","",,"",0,0,0,0,0,
5,63,2503,PB,PB%,056641,CFTC,"COT Pork Bellies Data",,Settlement,"",0,,,USD,"","Contracts",1,,,1982-12-30,2008-07-22,"","",,"",0,0,0,0,0,
7,63,2504,CT,CT%,033661,CFTC,"COT Cotton Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
7,64,9904,CT,CT#,033661,CFTC,"COT F+O Cotton Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
8,63,2505,HG,HG%,085692,CFTC,"COT Copper Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
8,64,9905,HG,HG#,085692,CFTC,"COT F+O Copper Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
9,64,9906,C,C#,002602,CFTC,"COT F+O Corn Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
9,63,2506,C,C%,002602,CFTC,"COT Corn Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
10,64,9907,KC,KC#,083731,CFTC,"COT F+O Coffee Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
10,63,2507,KC,KC%,083731,CFTC,"COT Coffee Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
11,64,9908,O,O#,004603,CFTC,"COT F+O Oats Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2021-12-28,"","",,"",0,0,0,0,0,
11,63,2508,O,O%,004603,CFTC,"COT Oats Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2021-12-28,"","",,"",0,0,0,0,0,
12,63,2509,OJ,OJ%,040701,CFTC,"COT Orange Juice Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
12,64,9909,OJ,OJ#,040701,CFTC,"COT F+O Orange Juice Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
13,63,2510,PL,PL%,076651,CFTC,"COT Platinum Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
13,64,9910,PL,PL#,076651,CFTC,"COT F+O Platinum Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
16,64,9911,SI,SI#,084691,CFTC,"COT F+O Silver Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
16,63,2511,SI,SI%,084691,CFTC,"COT Silver Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
17,64,9912,S,S#,005602,CFTC,"COT F+O Soybeans Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
17,63,2512,S,S%,005602,CFTC,"COT Soybeans Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
18,64,9913,SM,SM#,026603,CFTC,"COT F+O Soybean Meal Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
18,63,2513,SM,SM%,026603,CFTC,"COT Soybean Meal Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
19,63,2514,BO,BO%,007601,CFTC,"COT Soybean Oil Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
19,64,9914,BO,BO#,007601,CFTC,"COT F+O Soybean Oil  Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
20,63,2515,SB,SB%,080732,CFTC,"COT Sugar #11 Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
20,64,9915,SB,SB#,080732,CFTC,"COT F+O Sugar #11 Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
21,63,2516,W,W%,001602,CFTC,"COT CBT Wheat Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
21,64,9916,W,W#,001602,CFTC,"COT F+O CBT Wheat Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
22,63,2517,KW,KW%,001612,CFTC,"COT KC Wheat Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
22,64,9917,KW,KW#,001612,CFTC,"COT F+O KC Wheat Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
23,64,9942,MP,XB#,095741,CFTC,"COT F+O MEXICAN PESO Net Values",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-05-23,2022-01-04,"","",,"",0,0,0,0,0,
23,63,2542,MP,XB%,095741,CFTC,"COT MEXICAN PESO Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-05-23,2022-01-04,"","",,"",0,0,0,0,0,
24,64,9918,DM,DM#,,CFTC,"COT F+O DMark Net Values",,Settlement,"",0,,,USD,"","Contracts",1,,,1995-03-21,2000-03-07,"","",,"",0,0,0,0,0,
24,63,2518,DM,DM,,CFTC,"COT DMark Data",,Settlement,"",0,,,USD,"","Contracts",1,,,1982-12-30,2000-03-07,"","",,"",0,0,0,0,0,
25,64,9919,SF,SF#,092741,CFTC,"COT F+O Swiss Franc Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
25,63,2519,SF,SF%,092741,CFTC,"COT Swiss Franc Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
26,63,2569,BP,BP%,096742,CFTC,"COT British Pound Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
26,64,9969,BP,BP#,096742,CFTC,"COT F+O British Pound Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
27,63,2520,LB,LB%,058643,CFTC,"COT Lumber Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
27,64,9920,LB,LB#,058643,CFTC,"COT F+O Lumber Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
30,64,9921,GC,GC#,088691,CFTC,"COT F+O Comex Gold Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
30,63,2521,GC,GC%,088691,CFTC,"COT Comex Gold Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
33,64,9922,FC,FC#,061641,CFTC,"COT F+O Feeder Cattle Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1995-03-21,2022-01-04,"","",,"",0,0,0,0,0,
33,63,2522,FC,FC%,061641,CFTC,"COT Feeder Cattle Data",,Settlement,"",1,,,USD,"","Contracts",1,,,1982-12-30,2022-01-04,"","",,"",0,0,0,0,0,
