CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
1,0,1,IB,IB,,CBT,"Broilers-Iced",,Settlement,"",0,3,300,USD,"30000 lbs","cents/lb",1,3,VVVVVVVVVVVV,1969-08-19,1981-01-22,"","",,"",2,0,0,0,0,
2,0,2,LC,LC,LC,CME,"Live Cattle",Combined,Settlement,"LC,LC2,LC1",1,4,400,USD,"40000 lbs","cents/lb",2.5,10,IVIVIVIVIVIV,1964-11-30,2021-08-11,"","08:30 - 13:05",,"",2,1,0,0,1,52761
4,0,4,LH,LH,LH,CME,"Lean Hogs",Combined,Settlement,"LH,LH2,LH1",1,4,400,USD,"40000 lbs","cents/lb",2.5,10,IVIVVVVVIVIV,1966-02-28,2021-08-11,"","08:30 - 13:05",,"",2,1,0,0,1,54554
5,0,5,PB,PB,PB,CME,"Pork Bellies",RTH,Settlement,"PB,PB2,PB3",0,4,400,USD,"40000 lbs","cents/lb",2.5,10,IVVIVIVVIIII,1961-09-18,2011-07-15,"","10:10 - 14:00",,"",2,1,0,0,0,
6,0,6,CU9,CU9,,COMEX,"Copper",,Settlement,"",0,2.5,250,USD,"25000 lbs","cents/lb",1,2.5,SSVSVSVSVSSV,1966-01-03,1989-12-27,"","09:50 - 14:00",,"",2,0,0,0,1,
8,0,8,HG,HG,HG,COMEX,"Copper",RTH,Settlement,"HG,HG2,HG1",1,2.5,250,USD,"25000 lbs","cents/lb",5,12.5,SSVSVSVSVSSV,1988-07-29,2021-08-11,"CU9 starts at 1966-01-03","18:00 - 17:00",,"",2,0,0,0,1,291
9,0,9,C,C,C,CBT,"Corn",RTH,Settlement,"C,C2,ZC",1,6.25,50,USD,"5000 bu","cents/bu",2,12.5,IIVIVIVIVIIV,1946-01-02,2021-08-11,"","19:00 - 13:20",,"",-1,0,0,0,1,12414
11,0,11,O,O,O,CBT,"Oats",RTH,Settlement,"O,O2,ZO",1,6.25,50,USD,"5000 bu","cents/bu",2,12.5,IIVIVIVIVIIV,1947-01-02,2021-08-11,"","09:00 - 13:20",,"",-1,0,0,0,1,0
13,0,13,PL,PL,PL,NYMEX,"Platinum",RTH,Settlement,"PL,PL1,PL2",1,5,50,USD,"50 oz troy","USD/oz troy",1,5,VSSVSSVSSVSS,1964-01-14,2021-08-11,"","18:00 - 17:00",,"",1,0,0,0,1,250
16,0,16,SI,SI,SI,COMEX,"Silver",RTH,Settlement,"SI,SI1,SI2",1,5,50,USD,"5000 oz troy","cents/troy oz",1,5,VSVSVSVSVSSV,1963-06-12,2021-08-11,"","18:00 - 17:00",,"",1,0,0,0,1,1212
17,0,17,S,S,S,CBT,"Soybeans",RTH,Settlement,"S,S2,ZS",1,6.25,50,USD,"5000 bu","cents/bu",2,12.5,VIVIVIVVVIVI,1947-07-07,2021-08-11,"","19:00 - 13:20",,"",-1,0,0,0,1,5839
18,0,18,SM,SM,SM,CBT,"Soybean Meal",RTH,Settlement,"SM,SM2,ZM",1,10,100,USD,"100 short tons","USD/short ton",1,10,VIVIVIVVVVIV,1951-08-29,2021-08-11,"","19:00 - 13:20",,"",1,0,0,0,1,1907
19,0,19,BO,BO,BO,CBT,"Soybean Oil",RTH,Settlement,"BO,BO2,ZL",1,6,600,USD,"60000 lbs","cents/lb",1,6,VIVIVIVVVVIV,1950-07-17,2021-08-11,"","19:00 - 13:20",,"",2,0,0,0,1,1426
21,0,21,W,W,W,CBT,"Wheat",RTH,Settlement,"W,W2,ZW",1,6.25,50,USD,"5000 bu","cents/bu",2,12.5,IIVIVIVIVIIV,1922-01-03,2021-08-11,"","09:00 - 13:20",,"",-1,0,0,0,1,1272
22,0,22,KW,KW,KW,CBT,"Kansas City HRW Wheat",RTH,Settlement,"KW,KW2,KE",1,6.25,50,USD,"5000 bu","cents/bu",2,12.5,IIVIVIVIVIIV,1966-05-16,2021-08-11,"","10:30 - 14:15",,"",-1,0,0,0,1,2998
23,0,23,MP,MP,MP,CME,"Mexican Peso",Combined,Settlement,"MP,MP2,MP1",1,5,500000,USD,"MXN 500000","USD/MXN",1,5,SSVSSVSSVSSV,1995-04-25,2021-08-11,"","17:00 - 16:00",,"",5,0,0,0,1,33254
24,0,24,DM,DM,DM,CME,"Deutsche Mark",Combined,Settlement,"DM,DM2",0,12.5,125000,USD,"DEM 125000","USD/DEM",1,12.5,IIVIIVIIVIIV,1972-05-16,2001-12-18,"","14:30 - 14:00",,"",4,0,0,0,0,
25,0,25,SF,SF,SF,CME,"Swiss Franc",Combined,Settlement,"SF,SF2,SF1",1,12.5,125000,USD,"CHF 125000","USD/CHF",1,12.5,IIVIIVIIVIIV,1972-05-16,2021-08-11,"","17:00 - 16:00",,"",4,0,0,0,1,20604
26,0,26,BP,BP,NB,CME,"British Pound",Combined,Settlement,"BP,BP2,BP1",1,6.25,62500,USD,"GBP 62500","USD/GBP",1,6.25,SSVSSVSSVSSV,1972-05-16,2021-08-11,"","17:00 - 16:00",,"",4,0,0,0,1,56836
27,0,27,LB,LB,LB,CME,"Lumber",Combined,Settlement,"LB,LB2,LB1",1,11,110,USD,"110000 board ft","USD/1000 board ft",1,11,VIVIVIVIVIVI,1969-10-01,2021-08-11,"","09:00 - 16:00",,"",1,0,0,0,1,260
29,0,29,ST,ST,ST,CME,"Cattle-Stocker",,Settlement,"",0,2.5,250,USD,"25000 lbs","cents/lb",5,12.5,VVVIIIIIIVVV,1998-11-30,2001-08-02,"","09:10 - 13:05",,"",2,0,0,0,1,
30,0,30,GC,GC,GC,COMEX,"Gold",RTH,Settlement,"GC,GC1,GC2",1,10,100,USD,"100 oz troy","USD/oz troy",1,10,SVSVSVSVSVSV,1975-01-02,2021-08-11,"","18:00 - 17:00",,"",1,0,0,0,1,3796
33,0,33,FC,FC,FC,CME,"Feeder Cattle",Combined,Settlement,"FC,FC2,FC1",1,5,500,USD,"50000 lbs","cents/lb",2.5,12.5,VIVVVIIVVVVI,1971-11-30,2021-08-11,"","08:30 - 13:05",,"",2,1,0,0,1,15494
41,0,41,TB,TB,TB,CME,"U.S. T-Bill 3-Month",Combined,Settlement,"TB,TB2",0,2.5,2500,USD,"$1000000","USD/bas pt",5,12.5,SSVSSVSSVSSV,1976-01-06,2014-07-25,"","07:30 - 14:00",,"",3,0,0,0,0,
44,0,44,US,US,US,CBT,"U.S. T-Bond",Combined,Settlement,"US,US2,ZB",1,3.125,1000,USD,"$100000","points",5,15.625,IIVIIVIIVIIV,1977-08-22,2021-08-11,"","17:00 - 16:00",,"",-7,0,0,0,1,265087
64,0,64,CD,CD,CD,CME,"Canadian Dollar",Combined,Settlement,"CD,CD2,CD1",1,1,100000,USD,"CAD 100000","USD/CAD",5,5,SSVSSVSSVSSV,1972-05-16,2021-08-11,"","17:00 - 16:00",,"",5,0,0,0,1,52911
65,0,65,JY,JY,JY,CME,"Japanese Yen",Combined,Settlement,"JY,JY2,JY1",1,1.25,125000,USD,"JPY 12500000","USD/JPY 100",5,6.25,SSVSSVSSVSSV,1972-05-16,2021-08-11,"","17:00 - 16:00",,"",5,0,0,0,1,76785
