CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
118,0,118,HAU,HAU,,HKEX,"Gold-Hong Kong",,Settlement,"",0,10,100,USD,"100 oz troy","USD/oz troy",1,10,VVVVVVVVVVVV,1981-04-07,1997-12-05,"","08:30 - 17:00",,"",1,0,0,0,1,
119,0,119,HSI,HSI,HSI,HKEX,"Hang Seng Index",RTH,Settlement,"HSI,HIC,HIN",1,50,50,HKD,"HKD 50 x Index","points",1,50,SSVSSVSSVSSV,1986-05-06,2021-07-30,"","09:15 - 16:30",,"",0,0,1,0,1,113622
489,0,489,HRI,HRI,,HKEX,"Hang Seng Red China Index",,Settlement,"",0,50,500,USD,"HKD50 x Index","points",1,50,VVVVVVVVVVVV,1997-09-12,2001-08-30,"","10:00 - 16:00",,"",1,0,1,0,1,
500,0,500,HIR,HIR,,HKEX,"3-Month HIBOR",,Settlement,"",1,125,12500,HKD,"HKD 5000000","percent",1,125,SSVSSVSSVSSV,1997-09-26,2021-07-30,"","08:30 - 17:00",,"",2,0,1,0,1,0
544,0,544,HHI,HHI,,HKEX,"Index-Hang Seng 100",,Settlement,"",0,10,1000,HKD,"HKD 1000 x Index","points",1,10,VVVVVVVVVVVV,1998-09-23,2001-08-16,"","10:00 - 16:00",,"",2,0,1,0,1,
649,0,649,HMH,HMH,MHI,HKEX,"mini Hang Seng Index",RTH,Settlement,"HMH,HSN,HS2",1,10,10,HKD,"HKD10 x Index","points",1,10,SSVSSVSSVSSV,2000-10-09,2021-07-30,"HSI starts at 1986-05-06","09:15 - 16:30",,"",0,0,1,0,1,97917
795,0,795,HCE,HCE,HHI,HKEX,"Hang Seng China Enterprises Index",RTH,Settlement,"HCE,HCM,HCN",1,50,50,HKD,"HKD50 x Index","points",1,50,SSVSSVSSVSSV,2004-01-05,2021-07-30,"","09:15 - 16:30",,"",0,0,1,0,1,97605
815,0,815,HMC,HMC,MCH,HKEX,"mini H-Shares Index",RTH,Settlement,"HMC,HMN,HM2",1,10,10,HKD,"HKD 10 x Index","points",1,10,SSVSSVSSVSSV,2008-09-05,2021-07-30,"","09:45 - 16:15",,"",0,0,1,0,1,13890
100550,0,1550,HUN,HUN,CUS,HKEX,"USD/CNH",ETH,Last,"HUN,HUC,HCU",1,10,100000,CNY,"USD100000","CNY/USD",1,10,SSVSSVSSVSSV,2014-12-05,2021-07-30,"","17:00 - 23:45",,"",4,0,1,0,1,1314
100551,0,1551,HUC,HUC,CUS,HKEX,"USD/CNH",Combined,Settlement,"HUN,HUC,HCU",1,10,100000,CNY,"USD100000","CNY/USD",1,10,SSVSSVSSVSSV,2014-12-05,2021-07-30,"","17:00 - 16:15",,"",4,0,1,0,1,12787
100780,0,1780,HSV,HSV,VHS,HKEX,"HSI Volatility Index",,Settlement,"",1,50,5000,HKD,"HK$5000 x Index","Points",5,250,VVVVVVVVVVVV,2012-03-29,2021-07-30,"","09:30 - 16:15",,"",2,0,1,0,1,0
100823,0,1823,HSD,HSD,,HKEX,"HSI Dividend Index",,Settlement,"",1,0.5,50,HKD,"HK$50 x Index","points",1,0.5,IIIIIIIIIIIV,2012-10-18,2021-07-30,"","09:15 - 16:15",,"",2,0,1,0,1,0
100824,0,1824,HHD,HHD,,HKEX,"HSCEI Dividend Index",,Settlement,"",1,0.5,50,HKD,"HK$50 x Index","points",1,0.5,IIIIIIIIIIIV,2012-10-18,2021-07-30,"","09:15 - 16:15",,"",2,0,1,0,1,3300
