CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
3,0,3,CC,CC,CC,ICE-US,"Cocoa",RTH,Settlement,"CC,CC1,CC2",1,10,10,USD,"10 tonnes","USD/tonne",1,10,IIVIVIVIVIIV,1965-12-30,2022-01-07,"CC2 starts at 1965-12-30","04:45 - 13:30",,"",0,0,0,0,1,41547
7,0,7,CT,CT,CT,ICE-US,"Cotton #2",RTH,Settlement,"CT,CT1,CT2",1,5,500,USD,"50000 lbs","cents/lb",1,5,IIVIVIVIIVIV,1967-03-22,2022-01-07,"CT2 starts at 1967-03-22","21:00 - 14:20",,"",2,0,0,0,1,24003
10,0,10,KC,KC,KC,ICE-US,"Coffee",RTH,Settlement,"KC,KC1,KC2",1,3.75,375,USD,"37500 lbs","cents/lb",5,18.75,IIVIVIVIVIIV,1972-08-16,2022-01-07,"KC2 starts at 1972-08-16","04:15 - 13:30",,"",2,0,0,0,1,35148
12,0,12,OJ,OJ,OJ,ICE-US,"Orange Juice",RTH,Settlement,"OJ,OJ1,OJ2",1,1.5,150,USD,"15000 lbs","cents/lb",5,7.5,VIVIVIVIVIVI,1966-10-26,2022-01-07,"OJ2 starts at 1966-10-26","08:00 - 14:00",,"",2,0,0,0,1,716
20,0,20,SB,SB,SB,ICE-US,"Sugar #11 (World)",RTH,Settlement,"SB,SB1,SB2",1,11.2,1120,USD,"112000 lbs","cents/lb",1,11.2,IIVIVIVIIVII,1965-12-30,2022-01-07,"SB2 starts at 1965-12-30","03:30 - 13:00",,"",2,0,0,0,1,97296
28,0,28,ZG,ZG,ZG,ICE-US,"100oz Gold",,Settlement,"",1,10,100,USD,"100 oz","USD/oz",1,10,SVSVSVSVSVSV,1987-09-14,2022-01-07,"","20:00 - 18:00",,"",1,0,0,0,1,1
37,0,37,ZI,ZI,ZI,ICE-US,"5000oz Silver",,Settlement,"",1,5,5000,USD,"5000 oz ","USD/oz",1,5,VSVSVSVSVSSV,1987-09-14,2022-01-07,"","20:00 - 18:00",,"",3,0,0,0,1,0
42,0,42,SE,SE,SE,ICE-US,"Sugar #14(Domestic)",RTH,Settlement,"SE,SE1,SE2",0,11.2,1120,USD,"112000 lbs","cents/lb",1,11.2,VIVIVIVIVIVI,1977-05-02,2009-08-10,"SE2 starts at 2007-03-28","08:30 - 14:00",,"",2,0,0,0,0,
45,0,45,CI9,CI9,,ICE-US,"Cotton-Cotlook World",,Settlement,"",0,5,500,USD,"50000 lbs","cents/lb",1,5,VVVVVVVVVVVV,1992-10-01,1994-10-13,"","09:30 - 14:40",,"",2,0,0,0,1,
49,0,49,LCC,LCC,C,ICE-EU-AGS,"Cocoa",,Settlement,"",1,1,10,GBP,"10 tonnes","GBP/tonne",10,10,IIVIVIVIVIIV,1968-01-02,2022-01-07,"","09:30 - 16:55",,"",1,0,1,0,1,22142
51,0,51,LWB,LWB,T,ICE-EU-AGS,"Wheat",,Settlement,"",1,1,100,GBP,"100 tonnes","GBP/tonne",5,5,VIVIVIVIIIVI,1968-01-02,2022-01-07,"","09:25 - 17:28",,"",2,0,1,0,1,449
57,0,57,WO,WO,,ICE-CA,"Oats",,Settlement,"",0,0.2,20,CAD,"20 tonnes","CAD/tonne",10,2,IIVIVIVIIVVV,1969-12-31,2001-05-30,"","09:30 - 13:15",,"",2,0,0,0,1,
58,0,58,RS,RS,RS,ICE-US,"Rapeseed(Canola)",,Settlement,"",1,2,20,CAD,"20 tonnes","CAD/tonne",1,2,VIVIVIVIIIVI,1969-12-31,2022-01-07,"","09:30 - 13:15",,"",1,0,0,0,1,19385
59,0,59,WF,WF,,ICE-CA,"Flaxseed",,Settlement,"",0,2,20,CAD,"20 tonnes","CAD/tonne",1,2,VIVIVIVIVVVV,1969-12-31,2005-10-25,"","09:30 - 13:15",,"",1,0,0,0,1,
60,0,60,WR,WR,,ICE-CA,"Rye",,Settlement,"",0,10,100,CAD,"100 tonnes","CAD/tonne",1,10,IIVIVIVIVVIV,1969-12-31,1995-09-21,"","09:30 - 13:15",,"",1,0,0,0,1,
61,0,61,WB,WB,,ICE-CA,"Barley",,Settlement,"",0,1,100,CAD,"100 tonnes","CAD/tonne",1,1,IIVIVIVIIVVV,1969-12-31,1994-05-19,"","09:30 - 13:15",,"",2,0,0,0,1,
62,0,62,WW,WW,,ICE-CA,"Wheat-Feed(Domestic)",,Settlement,"",0,0.2,20,CAD,"20 tonnes","CAD/tonne",1,0.2,IIVIVIVIIVVV,1974-08-06,2008-10-14,"","09:30 - 13:15",,"",2,0,0,0,1,
97,0,97,WS9,WS9,,ICE-US,"Sugar-White",,Settlement,"",0,5,50,USD,"50 tonne","USD/tonne",1,5,VIVIVIVIIVIV,1987-10-05,1998-04-15,"","09:15 - 13:20",,"",1,0,0,0,0,
100,0,100,R,R,R,ICE-US,"Russell 1000 Index",RTH,Settlement,"R,R1,R2",0,5,500,USD,"USD500 x Index","points",5,25,IIVIIVIIVIIV,1999-03-05,2008-12-19,"R2 starts at 1999-03-05","03:00 - 16:15",,"",2,0,0,0,0,
101,0,101,CR,CR,CI,ICE-US,"Continuous Commodity Index(CRB)",,Settlement,"",0,5,500,USD,"$500 x Index","points",5,25,VVIVIVIVIIVI,1986-06-12,2013-04-12,"","09:40 - 14:40",,"",2,0,0,0,1,
103,0,103,RA?,RA?,,ICE-US,"Russell 3000 Index",,Settlement,"",0,,,USD,"","points",5,,IIVIIVIIVIIV,1987-09-10,1990-01-31,"","",,"",2,0,0,0,1,
126,0,126,SL,SL,,ICE-CA,"Silver - 200 oz",,Settlement,"",0,20,200,USD,"200 troy ounce","$/troy ounce",1,20,VIIVIIVIIVII,1981-04-10,1988-04-20,"","09:00 - 14:01",,"",1,0,0,0,1,
134,0,134,LGO,LGO,G,ICE-EU,"Low Sulphur Gasoil",Combined,Settlement,"LGO,LG4,LG5",1,1,100,USD,"100 tonnes","USD/tonne",25,25,VVVVVVVVVVVV,1981-04-06,2022-01-07,"","20:00 - 18:00",,"",2,0,0,0,1,320336
135,0,135,LFO,LFO,,ICE-EU,"Fuel Oil",,Settlement,"",0,1,100,USD,"100 tonnes","USD/tonne",5,5,VVVVVVVVVVVV,1999-09-03,2001-01-10,"","09:05 - 17:05",,"",2,0,0,0,1,
136,0,136,LCO,LCO,B,ICE-EU,"Brent Crude",Combined,Settlement,"LCO,LC4,LC5",1,10,1000,USD,"1000 barrels","USD/barrel",1,10,VVVVVVVVVVVV,1988-06-23,2022-01-07,"","20:00 - 18:00",,"",2,0,0,0,1,1078389
137,0,137,LSO,LSO,,ICE-EU,"Crude Oil Dubai",,Settlement,"",0,10,1000,USD,"100 barrels","$/barrel",1,10,VVVVVVVVVVVV,1990-07-19,1991-06-14,"","04:37 - 15:15",,"",2,0,0,0,1,
151,0,151,YX,YX,,ICE-US,"NYSE Composite Index",,Settlement,"",0,5,500,USD,"$500 x Index","points",5,25,IIVIIVIIVIIV,1982-05-06,2003-09-18,"","09:30 - 16:15",,"",2,0,0,0,1,
173,0,173,FSS,FSS,L,ICE-EU-FIN,"3 Month Sterling",Combined,Settlement,"",0,1.25,1250,GBP,"GBP 500000","GBP/bas pt",5,6.25,SSVSSVSSVSSV,1982-11-04,2021-12-17,"","07:30 - 18:00",,"",3,0,1,0,1,
174,0,174,FLG,FLG,R,ICE-EU-FIN,"Long Gilt",,Settlement,"",1,10,1000,GBP,"GBP100000","percent",1,10,IIVIIVIIVIIV,1982-11-18,2022-01-07,"","08:00 - 18:00",,"",2,0,1,0,1,188833
183,0,183,YI,YI,YI,ICE-US,"mini Silver",,Settlement,"",1,1,10,USD,"1000 oz","cents/oz",1,1,VSVSVSVSVSSV,1983-04-15,2022-01-07,"","20:00 - 18:00",,"",1,0,0,0,1,34
185,0,185,FES,FES,S,ICE-EU-FIN,"Three Month Euro Swiss Franc (Euroswiss)",Combined,Settlement,"",0,2.5,2500,CHF,"CHF 1000000","CHF/bas pt",5,12.5,IIVIIVIIVIIV,1991-02-07,2021-12-17,"","07:30 - 18:00",,"",3,0,1,0,1,
186,0,186,AB,AB,,ICE-CA,"Barley",,Settlement,"",0,0.2,20,CAD,"20 tonnes","CAD/tonne",10,2,VVVIVIVVIVVV,1983-02-28,2012-08-09,"","09:30 - 13:15",,"",2,0,0,0,1,
199,0,199,LSU,LSU,W,ICE-EU-AGS,"White Sugar (#5)",,Settlement,"",1,5,50,USD,"50 tonnes","USD/tonne",1,5,IIVIVIIVIVIV,1987-07-30,2022-01-07,"","08:45 - 18:00",,"",1,0,1,0,1,13342
200,0,200,LFU,LFU,,ICE-EU,"Gasoline Unleaded",,Settlement,"",0,1,100,USD,"100 tonnes","USD/tonne",1,1,VVVVVVVVVVVV,1992-01-27,1996-02-20,"","04:25 - 15:15",,"",2,0,0,0,1,
209,0,209,FFI,FFI,Z,ICE-EU-FIN,"FTSE 100 Index",,Settlement,"",1,1,10,GBP,"GBP 10 x INDEX","points",5,5,IIVIIVIIVIIV,1984-05-03,2022-01-07,"","01:00 - 21:00",,"",1,0,1,0,1,83757
213,0,213,YG,YG,YG,ICE-US,"mini Gold",,Settlement,"",1,3.215,32.15,USD,"32.15 troy oz","USD/oz troy",1,3.215,SVSVSVSVSVSV,1984-06-13,2022-01-07,"","20:00 - 18:00",,"",1,0,0,0,1,27
222,0,222,LC9,LC9,,ICE-EU,"Naptha",,Settlement,"",0,,,USD,"","",1,,VVVVVVVVVVVV,1991-04-10,1992-05-21,"","04:25 - 15:15",,"",2,0,0,0,1,
263,0,263,DX,DX,DX,ICE-US,"U.S. Dollar Index",RTH,Settlement,"DX,DX1,DX2",1,1,1000,USD,"$1000 x Index","points",5,5,IIVIIVIIVIIV,1985-11-20,2022-01-07,"DX2 starts at 1985-11-20","20:00 - 17:00",,"",3,0,0,0,1,14368
264,0,264,EU,EU,EU,ICE-US,"Euro",,Settlement,"",0,2,200000,USD,"EUR200000","USD/EUR",5,10,IIVIIVIIVIIV,1986-01-07,2008-07-28,"","20:00 - 15:00",,"",5,0,0,0,1,
281,0,281,EZ9,EZ9,,ICE-US,"Cheese-Cheddar",,Settlement,"",0,4,400,USD,"40000 lbs","cents/lb",1,4,VVVVVVVVVVVV,1993-06-15,1998-12-22,"","09:00 - 14:00",,"",2,0,0,0,1,
282,0,282,MU9,MU9,,ICE-US,"Milk-Non-Fat Dry",,Settlement,"",0,4.4,440,USD,"44000 lbs","cents/lb",1,4.4,VVVVVVVVVVVV,1993-06-15,1998-12-22,"","09:00 - 14:00",,"",2,0,0,0,1,
285,0,285,YU9,YU9,,ICE-US,"NYSE Utilty",,Settlement,"",0,,,USD,"","",1,,IIVIIVIIVIIV,1993-11-15,1994-10-14,"","09:30 - 16:15",,"",2,0,0,0,1,
289,0,289,BY,BY,,ICE-CA,"Barley-Continental",,Settlement,"",0,1,100,CAD,"100 tonnes","CAD/tonne",1,1,IIVIVIVIVIIV,1993-11-01,1995-12-05,"","08:30 - 13:15",,"",2,0,0,0,1,
297,0,297,KB,KB,,ICE-US,"Coffee-Brazil Diff",,Settlement,"",0,3.75,375,USD,"$137500 lbs","cents/lb",1,3.75,IIVIVIVIVIIV,1992-06-12,1994-03-18,"","",,"",2,0,0,0,1,
304,0,304,NGL,NGL,M,ICE-EU,"Natural Gas (National Balancing Point)",,Settlement,"",1,0.3,300,GBP,"1000 Therm/Day","0.01 GBP/Therm/Day",1,0.3,VVVVVVVVVVVV,1997-01-31,2022-01-07,"","03:00 - 13:00",,"",3,0,0,0,1,37600
372,0,372,ZR,ZR,ZR,ICE-US,"US Dollar/South African Rand",,Settlement,"",1,1,100000,ZAR,"$100000","ZAR/USD",5,5,IIVIIVIIVIIV,1997-04-03,2022-01-07,"","20:00 - 17:00",,"",5,0,0,0,1,5
373,0,373,SS,SS,SS,ICE-US,"British Pound/Swiss Franc",,Settlement,"",1,1.25,125000,CHF,"GBP 125000","CHF/GBP",10,12.5,IIVIIVIIVIIV,1997-04-18,2022-01-07,"","20:00 - 17:00",,"",5,0,0,0,1,0
