CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
501,0,501,KOS,KOS,FBK2,KRX,"KOSPI 200 Index-KRX",,Settlement,"",1,2500,250000,KRW,"KRW 250000 x Index","points",5,12500,IIVIIVIIVIIV,1998-01-20,2022-01-07,"","09:00 - 15:35",,"",2,0,1,1,1,248704
601,0,601,KRW,KRW,USD,KRX,"US Dollar/Korean Won-KRX",,Settlement,"",1,1000,10000,KRW,"USD 10000","KRW / USD",1,1000,VVVVVVVVVVVV,1999-04-23,2022-01-07,"","09:00 - 15:35",,"",1,0,1,1,1,299780
602,0,602,CDF,CDF,,KRX,"Korean CD Interest(3 Mth)",,Settlement,"",0,12500,1250000,KRW,"KRW 500000000","KRW/bas pt",1,12500,IIVIIVIIVIIV,1999-04-23,2007-12-18,"","09:30 - 15:00",,"",2,0,1,1,1,
603,0,603,KTB,KTB,BM3,KRX,"3-year Korea Treasury Bond -KRX",,Settlement,"",1,10000,1000000,KRW,"KRW100000000","percent",1,10000,IIVIIVIIVIIV,1999-09-29,2022-01-07,"","09:00 - 15:35",,"",2,0,1,1,1,136765
604,0,604,KGD,KGD,,KRX,"Gold",,Settlement,"",0,1000,1000,KRW,"1 KG","KRW/gram",10,10000,IVIVIVIVIVIV,1999-04-23,2010-08-27,"","09:30 - 16:30",,"",0,0,1,1,1,
100410,0,1410,KJY,KJY,JPY,KRX,"Japanese Yen / Korean Won",,Settlement,"",1,1000,10000,KRW,"JPY 1000000","KRW / 100 JPY",1,1000,SSVSSVSSVSSV,2009-03-19,2022-01-07,"","09:00 - 15:35",,"",1,0,1,1,1,530
100411,0,1411,KEU,KEU,EUR,KRX,"Euro / Korean Won",,Settlement,"",1,1000,10000,KRW,"EUR 10000","KRW / EUR",1,1000,SSVSSVSSVSSV,2009-03-19,2022-01-07,"","09:00 - 15:35",,"",1,0,1,1,1,580
100589,0,1589,KT0,KT0,BMA,KRX,"10-year Korea Treasury Bond",,Settlement,"",1,10000,1000000,KRW,"KRW 100000000","points",1,10000,IIVIIVIIVIIV,2010-11-01,2022-01-07,"","09:00 - 15:35",,"",2,0,1,1,1,66674
200091,0,20091,KT5,KT5,BM5,KRX,"5-year Korea Treasury Bond",,Settlement,"",1,10000,1000000,KRW,"KRW100000000","points",1,10000,IIVIIVIIVIIV,2016-05-19,2022-01-07,"","09:00 - 15:35",,"",2,0,1,1,1,0
200093,0,20093,KQI,KQI,KQI,KRX,"KOSDAQ 150 Index",,Settlement,"",1,100,10000,KRW,"KRW 10000","points",10,1000,IIVIIVIIVIIV,2016-10-14,2022-01-07,"","09:00 - 15:35",,"",2,0,1,1,1,77447
200094,0,20094,KOM,KOM,FMK2,KRX,"mini KOSPI 200",,Settlement,"",1,500,50000,KRW,"KRW 50000","points",2,1000,VVVVVVVVVVVV,2018-03-13,2022-01-07,"","09:00 - 15:35",,"",2,0,1,1,1,111281
