CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
145,0,145,JAU,JAU,OGOLD,OSE,"Gold",RTH,Settlement,"JAU,JA2,JA1",1,1000,1000,JPY,"1000 grams","JPY/gram",1,1000,IVIVIVIVIVIV,1982-03-29,2021-07-30,"","09:00 - 15:30",,"",0,0,1,0,1,11076
157,0,157,JTI,JTI,TOPIX,OSE,"TOPIX Index",Combined,Settlement,"JTI,JT2,JT1",1,1000,10000,JPY,"JPY 10000 x Index","points",5,5000,IIVIIVIIVIIV,1990-04-03,2021-07-30,"","16:30 - 15:15",,"",1,0,1,1,1,56446
158,0,158,JGB,JGB,JGBL,OSE,"10-Year Japanese Govt Bond",RTH,Settlement,"JGB,JG2,JG1",1,10000,1000000,JPY,"JPY 100000000","percent",1,10000,IIVIIVIIVIIV,1990-04-04,2021-07-30,"","08:45 - 15:00",,"",2,0,1,1,1,15758
204,0,204,JSV,JSV,OSILV,OSE,"Silver",RTH,Settlement,"JSV,JS2,JS1",1,1000,10000,JPY,"10000g","JPY/gram",1,1000,IVIVIVIVIVIV,1984-01-26,2021-07-30,"","09:00 - 15:30",,"",1,0,1,0,1,22
205,0,205,JPL,JPL,OPLAT,OSE,"Platinum",RTH,Settlement,"JPL,JP2,JP1",1,500,500,JPY,"500 grams","JPY/gram",1,500,IVIVIVIVIVIV,1984-01-26,2021-07-30,"","09:00 - 15:30",,"",0,0,1,0,1,5156
237,0,237,JRB,JRB,OTGAB,OSE,"Red Azuki Beans",RTH,Settlement,"JRB,JR3,JR4",1,800,800,JPY,"2400 kg","10 JPY/30 kg",1,800,VVVVVVVVVVVV,1984-09-10,2021-07-30,"","08:45 - 15:15",,"",0,0,1,0,1,0
239,0,239,JAS,JAS,OTGSB,OSE,"U.S. Soybeans",RTH,Settlement,"JAS,JA7,JA8",1,250,250,JPY,"25 tonne","10 JPY/tonne",1,250,IVIVIVIVIVIV,1984-09-10,2021-07-30,"","08:45 - 15:15",,"",0,0,1,0,1,0
255,0,255,JNI,JNI,NK225,OSE,"Nikkei 225 Index",Combined,Settlement,"JNI,JN2,JN1",1,1000,1000,JPY,"JPY 1000 x Index","points",10,10000,IIVIIVIIVIIV,1988-09-03,2021-07-30,"","16:30 - 15:15",,"",0,0,1,1,1,55556
310,0,310,JRU,JRU,ORSS3,OSE,"Rubber",RTH,Settlement,"JRU,JR2,JR1",1,500,5000,JPY,"5000 kg","JPY/kg",1,500,VVVVVVVVVVVV,1992-01-06,2021-07-30,"","09:00 - 15:30",,"",1,0,1,0,1,2337
311,0,311,JPA,JPA,OPALL,OSE,"Palladium",RTH,Settlement,"JPA,JP6,JP5",1,500,500,JPY,"500 G","JPY/G",1,500,IVIVIVIVIVIV,1992-08-03,2021-07-30,"","09:00 - 15:30",,"",0,0,1,0,1,18
312,0,312,JCR,JCR,OTGCN,OSE,"Corn",RTH,Settlement,"JCR,JC3,JC4",1,500,500,JPY,"50 tonnes","10 JPY/tonne",1,500,VIVIVIVIVIVI,1992-08-12,2021-07-30,"","08:45 - 15:15",,"",0,0,1,0,1,39
346,0,346,JNW,JNW,,OSE,"Nikkei 300 Index",Combined,Settlement,"JNW,JN4,JN3",0,1000,10000,JPY,"JPY10000 x Index","points",1,1000,IIVIIVIIVIIV,1994-02-14,2014-07-25,"","09:00 - 16:30",,"",1,0,1,1,1,
100059,0,1059,JNM,JNM,NK225M,OSE,"mini Nikkei 225 Index",Combined,Settlement,"JNM,JN6,JN5",1,100,100,JPY,"JPY 100 x Index","points",5,500,SSVSSVSSVSSV,2006-09-27,2021-07-30,"","16:30 - 15:15",,"",0,0,1,1,1,953240
100222,0,1222,JN2,JN2,NK225,OSE,"Nikkei 225 Index",RTH,Settlement,"JNI,JN2,JN1",1,1000,1000,JPY,"JPY 1000 x Index","points",10,10000,IIVIIVIIVIIV,2007-09-18,2021-07-30,"JNI starts at 1988-09-03","09:00 - 15:15",,"",0,0,1,1,1,45565
100223,0,1223,JN1,JN1,NK225,OSE,"Nikkei 225 Index",ETH,Last,"JNI,JN2,JN1",1,1000,1000,JPY,"JPY 1000 x Index","points",10,10000,IIVIIVIIVIIV,2007-09-18,2021-07-30,"JNI starts at 1988-09-03","16:30 - 03:00",,"",0,0,1,1,1,9991
100224,0,1224,JAM,JAM,OM-GD,OSE,"mini Gold",RTH,Settlement,"JAM,JA4,JA3",1,100,100,JPY,"100g","JPY/gram",1,100,IVIVIVIVIVIV,2007-09-25,2021-07-30,"","09:00 - 15:30",,"",0,0,1,0,1,1730
100238,0,1238,JG2,JG2,JGBL,OSE,"10-Year Japanese Govt Bond",Combined,Settlement,"JGB,JG2,JG1",1,10000,1000000,JPY,"JPY 100000000","percent",1,10000,IIVIIVIIVIIV,1990-04-04,2021-07-30,"","15:30 - 15:00",,"",2,0,1,1,1,20481
100239,0,1239,JG1,JG1,JGBL,OSE,"10-Year Japanese Govt Bond",ETH,Last,"JGB,JG2,JG1",1,10000,1000000,JPY,"JPY 100000000","percent",1,10000,IIVIIVIIVIIV,2007-10-11,2021-07-30,"","15:30 - 03:00",,"",2,0,1,1,1,4723
100240,0,1240,JN4,JN4,,OSE,"Nikkei 300 Index",RTH,Settlement,"JNW,JN4,JN3",0,1000,10000,JPY,"JPY10000 x Index","points",1,1000,IIVIIVIIVIIV,2007-10-10,2014-07-25,"","09:00 - 15:10",,"",1,0,1,1,1,
100241,0,1241,JN3,JN3,,OSE,"Nikkei 300 Index",ETH,Last,"JNW,JN4,JN3",0,1000,10000,JPY,"JPY10000 x Index","points",1,1000,IIVIIVIIVIIV,2007-10-11,2014-07-28,"","16:15 - 16:30",,"",1,0,1,0,1,
100242,0,1242,JN6,JN6,NK225M,OSE,"mini Nikkei 225 Index",RTH,Settlement,"JNM,JN6,JN5",1,100,100,JPY,"JPY 100 x Index","points",5,500,SSVSSVSSVSSV,2006-09-27,2021-07-30,"","09:00 - 15:15",,"",0,0,1,1,1,727546
100243,0,1243,JN5,JN5,NK225M,OSE,"mini Nikkei 225 Index",ETH,Last,"JNM,JN6,JN5",1,100,100,JPY,"JPY 100 x Index","points",5,500,SSVSSVSSVSSV,2007-09-19,2021-07-30,"","16:30 - 03:00",,"",0,0,1,1,1,225694
100332,0,1332,JT2,JT2,TOPIX,OSE,"TOPIX Index",RTH,Settlement,"JTI,JT2,JT1",1,1000,10000,JPY,"JPY 10000 x Index","points",5,5000,IIVIIVIIVIIV,2008-06-18,2021-07-30,"JTI starts at 1990-04-03","09:00 - 15:15",,"",1,0,1,1,1,47231
100333,0,1333,JT1,JT1,TOPIX,OSE,"TOPIX Index",ETH,Last,"JTI,JT2,JT1",1,1000,10000,JPY,"JPY 10000 x Index","points",5,5000,IIVIIVIIVIIV,2008-06-18,2021-07-30,"","16:30 - 03:00",,"",1,0,1,1,1,9215
100334,0,1334,JTM,JTM,TOPIXM,OSE,"mini TOPIX Index",Combined,Settlement,"JTM,JT4,JT3",1,10,1000,JPY,"JPY 1000 x Index","points",25,250,IIVIIVIIVIIV,2008-06-19,2021-07-30,"","16:30 - 15:15",,"",2,0,1,1,1,42274
100335,0,1335,JT4,JT4,TOPIXM,OSE,"mini TOPIX Index",RTH,Settlement,"JTM,JT4,JT3",1,10,1000,JPY,"JPY 1000 x Index","points",25,250,IIVIIVIIVIIV,2008-06-19,2021-07-30,"","09:00 - 15:15",,"",2,0,1,1,1,34875
100336,0,1336,JT3,JT3,TOPIXM,OSE,"mini TOPIX Index",ETH,Last,"JTM,JT4,JT3",1,10,1000,JPY,"JPY 1000 x Index","points",25,250,IIVIIVIIVIIV,2008-06-19,2021-07-30,"","16:30 - 03:00",,"",2,0,1,1,1,7399
100429,0,1429,JA2,JA2,OGOLD,OSE,"Gold",Combined,Settlement,"JAU,JA2,JA1",1,1000,1000,JPY,"1000 grams","JPY/gram",1,1000,IVIVIVIVIVIV,2009-05-14,2021-07-30,"","17:00 - 15:30",,"",0,0,1,0,1,23820
100430,0,1430,JA1,JA1,OGOLD,OSE,"Gold",ETH,Last,"JAU,JA2,JA1",1,1000,1000,JPY,"1000 grams","JPY/gram",1,1000,IVIVIVIVIVIV,2009-05-14,2021-07-30,"","17:00 - 23:00",,"",0,0,1,0,1,12744
100431,0,1431,JA4,JA4,OM-GD,OSE,"mini Gold",Combined,Settlement,"JAM,JA4,JA3",1,100,100,JPY,"100g","JPY/gram",1,100,IVIVIVIVIVIV,2009-05-14,2021-07-30,"","17:00 - 15:30",,"",0,0,1,0,1,6528
100432,0,1432,JA3,JA3,OM-GD,OSE,"mini Gold",ETH,Last,"JAM,JA4,JA3",1,100,100,JPY,"100g","JPY/gram",1,100,IVIVIVIVIVIV,2009-05-14,2021-07-30,"","17:00 - 23:00",,"",0,0,1,0,1,4798
100433,0,1433,JS2,JS2,OSILV,OSE,"Silver",Combined,Settlement,"JSV,JS2,JS1",1,1000,10000,JPY,"10000g","JPY/gram",1,1000,IVIVIVIVIVIV,2009-05-14,2021-07-30,"","17:00 - 15:30",,"",1,0,1,0,1,48
100434,0,1434,JS1,JS1,OSILV,OSE,"Silver",ETH,Last,"JSV,JS2,JS1",1,1000,10000,JPY,"10000g","JPY/gram",1,1000,IVIVIVIVIVIV,2009-05-14,2021-07-30,"","17:00 - 23:00",,"",1,0,1,0,1,26
100435,0,1435,JP2,JP2,OPLAT,OSE,"Platinum",Combined,Settlement,"JPL,JP2,JP1",1,500,500,JPY,"500 grams","JPY/gram",1,500,IVIVIVIVIVIV,2009-05-14,2021-07-30,"","17:00 - 15:30",,"",0,0,1,0,1,8626
100436,0,1436,JP1,JP1,OPLAT,OSE,"Platinum",ETH,Last,"JPL,JP2,JP1",1,500,500,JPY,"500 grams","JPY/gram",1,500,IVIVIVIVIVIV,2009-05-14,2021-07-30,"","17:00 - 23:00",,"",0,0,1,0,1,3470
100437,0,1437,JPM,JPM,OM-PT,OSE,"mini Platinum",RTH,Settlement,"JPM,JP4,JP3",1,100,100,JPY,"100g","JPY/gram",1,100,IVIVIVIVIVIV,2009-05-15,2021-07-30,"","09:00 - 15:30",,"",0,0,1,0,1,517
100438,0,1438,JP4,JP4,OM-PT,OSE,"mini Platinum",Combined,Settlement,"JPM,JP4,JP3",1,100,100,JPY,"100g","JPY/gram",1,100,IVIVIVIVIVIV,2009-05-15,2021-07-30,"","17:00 - 15:30",,"",0,0,1,0,1,1138
100439,0,1439,JP3,JP3,OM-PT,OSE,"mini Platinum",ETH,Last,"JPM,JP4,JP3",1,100,100,JPY,"100g","JPY/gram",1,100,IVIVIVIVIVIV,2009-05-15,2021-07-30,"","17:00 - 23:00",,"",0,0,1,0,1,621
100440,0,1440,JP6,JP6,OPALL,OSE,"Palladium",Combined,Settlement,"JPA,JP6,JP5",1,500,500,JPY,"500 G","JPY/G",1,500,IVIVIVIVIVIV,2009-05-14,2021-07-30,"","17:00 - 15:30",,"",0,0,1,0,1,18
100441,0,1441,JP5,JP5,OPALL,OSE,"Palladium",ETH,Last,"JPA,JP6,JP5",1,500,500,JPY,"500 G","JPY/G",1,500,IVIVIVIVIVIV,2009-05-14,2021-07-30,"","17:00 - 23:00",,"",0,0,1,0,1,0
100444,0,1444,JR2,JR2,ORSS3,OSE,"Rubber",Combined,Settlement,"JRU,JR2,JR1",1,500,5000,JPY,"5000 kg","JPY/kg",1,500,VVVVVVVVVVVV,2009-05-14,2021-07-30,"JRU starts at 1992-01-06","17:00 - 15:30",,"",1,0,1,0,1,2931
100445,0,1445,JR1,JR1,ORSS3,OSE,"Rubber",ETH,Last,"JRU,JR2,JR1",1,500,5000,JPY,"5000 kg","JPY/kg",1,500,VVVVVVVVVVVV,2009-05-14,2021-07-30,"","17:00 - 23:00",,"",1,0,1,0,1,594
100607,0,1607,JR3,JR3,OTGAB,OSE,"Azuki Bean Red",ETH,Last,"JRB,JR3,JR4",1,800,800,JPY,"2400 kg","10 JPY/30 kg",1,800,VVVVVVVVVVVV,2010-12-17,2021-07-30,"","16:30 - 05:30",,"",0,0,1,0,1,0
100608,0,1608,JR4,JR4,OTGAB,OSE,"Azuki Bean Red",Combined,Settlement,"JRB,JR3,JR4",1,800,800,JPY,"2400 kg","10 JPY/30 kg",1,800,VVVVVVVVVVVV,2011-01-12,2021-07-30,"","16:30 - 15:15",,"",0,0,1,1,1,0
100609,0,1609,JA7,JA7,OTGSB,OSE,"Soybeans Import",ETH,Last,"JAS,JA7,JA8",1,250,250,JPY,"25 tonne","10 JPY/tonne",1,250,IVIVIVIVIVIV,2011-01-12,2021-07-30,"","16:30 - 05:25",,"",0,0,1,0,1,0
100610,0,1610,JA8,JA8,OTGSB,OSE,"Soybeans Import",Combined,Settlement,"JAS,JA7,JA8",1,250,250,JPY,"25 tonne","10 JPY/tonne",1,250,IVIVIVIVIVIV,2010-12-17,2021-07-30,"","16:30 - 15:15",,"",0,0,1,1,1,0
100613,0,1613,JC3,JC3,OTGCN,OSE,"Corn",ETH,Last,"JCR,JC3,JC4",1,500,500,JPY,"50 metric tons","10 JPY/tonne",1,500,VIVIVIVIVIVI,2011-01-12,2021-07-30,"","16:30 - 05:30",,"",0,0,1,0,1,37
