CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
122,0,122,SAU,SAU,,SIMEX,"Gold",,Settlement,"",0,1,100,USD,"100 oz","USD/oz",1,1,VVVVVVVVVVVV,1984-07-05,1998-02-06,"","09:00 - 17:15",,"",2,0,0,0,1,
138,0,138,SFO,SFO,,SIMEX,"Fuel Oil(High Sulphur)",,Settlement,"",0,1,100,USD,"100 tonnes","USD/tonne",1,1,VVVVVVVVVVVV,1989-02-22,1998-05-28,"","09:30 - 19:00",,"",2,0,0,0,1,
220,0,220,SGF,SGF,,SIMEX,"Gas Oil",,Settlement,"",0,,,USD,"","",1,,VVVVVVVVVVVV,1991-06-25,1992-06-09,"","09:25 - 18:55",,"",2,0,0,0,1,
242,0,242,SNW,SNW,,SGX,"Nikkei 300 Index",,Settlement,"",0,1000,10000,JPY,"JPY10000 x Index","points",1,1000,IIVIIVIIVIIV,1995-02-03,2005-08-17,"","08:00 - 14:15",,"",1,0,1,0,1,
243,0,243,SBP,SBP,,SIMEX,"British Pound",,Settlement,"",0,6.25,62500,USD,"GBP 62500","USD/GBP",2,12.5,VVVVVVVVVVVV,1986-07-02,1995-03-13,"","08:25 - 17:15",,"",4,0,0,0,1,
244,0,244,SED,SED,ED,SGX,"Eurodollar",,Settlement,"",0,2.5,2500,USD,"$1000000","USD/bas pt",2.5,6.25,SSVSSVSSVSSV,1984-09-07,2020-01-10,"","07:25 - 19:00",,"",3,1,1,0,1,
245,0,245,SDM,SDM,,SIMEX,"Deutsche Mark",,Settlement,"",0,12.5,125000,USD,"DEM 125000","USD/DEM",1,12.5,IIVIIVIIVIIV,1984-09-07,1995-06-23,"","08:20 - 17:10",,"",4,0,0,0,1,
248,0,248,SSI,SSI,NK,SGX,"Nikkei 225 Index",Combined,Settlement,"SSI,SS2,SS1",1,500,500,JPY,"JPY 500 x Index","points",1,500,SSVSSVSSVSSV,1986-09-03,2021-08-11,"","14:55 - 14:25",,"",0,0,1,0,1,37056
249,0,249,SEY,SEY,EY,SGX,"Euroyen (TIBOR)",Combined,Settlement,"SEY,SE4,SE3",0,250,250000,JPY,"JPY 100000000","percent",2.5,625,IIVIIVIIVIIV,1989-10-27,2020-07-31,"","19:20 - 19:05",,"",3,0,1,0,1,
256,0,256,SJ9,SJ9,,SIMEX,"Japanese Yen",,Settlement,"",0,12.5,125000,USD,"JPY 12500000","USD/JPY 100",1,12.5,IIVIIVIIVIIV,1984-11-08,1995-06-23,"","08:15 - 17:05",,"",4,0,0,0,1,
260,0,260,SEM,SEM,,SIMEX,"Euromark-3 Mth",,Settlement,"",0,25,2500,DEM,"DEM1000000","DEM/bas pt",1,25,IIVIIVIIVIIV,1990-09-24,1998-05-15,"","10:00 - 18:00",,"",2,0,0,0,1,
272,0,272,SDF,SDF,,SIMEX,"Petroleum-Crude Oil Dubai",,Settlement,"",0,,,USD,"","",1,,VVVVVVVVVVVV,1990-06-21,1992-02-03,"","",,"",2,0,0,0,1,
330,0,330,SHK,SHK,HK,SGX,"Hong Kong Index",,Settlement,"",0,5,5,USD,"USD 5 x Index","points",1,5,SSVSSVSSVSSV,1998-11-23,2016-08-26,"","09:30 - 16:15",,"",0,0,1,0,1,
337,0,337,SJB,SJB,JB,SGX,"mini 10-Year Japanese Govt Bond",Combined,Settlement,"SJB,SJ2,SJ1",1,1000,100000,JPY,"JPY 10000000","percent",1,1000,IIVIIVIIVIIV,1993-10-01,2021-08-11,"","17:30 - 17:15",,"",2,0,1,0,1,1038
343,0,343,SUM,SUM,,SIMEX,"Deutsche Mark-Deferred Spot",,Settlement,"",0,10,100000,DEM,"$100000","DEM",1,10,IIVIIVIIVIIV,1993-11-01,1998-06-10,"","08:05 - 19:05",,"",4,0,0,0,1,
344,0,344,SDY,SDY,,SIMEX,"Japanese Yen-Deferred Spot",,Settlement,"",0,1000,100000,JPY,"$100000","JPY",1,1000,IIVIIVIIVIIV,1993-11-01,1998-06-10,"","08:00 - 19:00",,"",2,0,0,0,1,
388,0,388,SCO,SCO,,SGX,"Crude Oil-Brent",,Settlement,"",0,10,1000,USD,"1000 barrels","USD/barrel",1,10,VVVVVVVVVVVV,1995-06-09,2002-03-14,"","04:25 - 15:15",,"",2,0,1,0,1,
448,0,448,STW,STW,TW,SGX,"MSCI Taiwan Index",Combined,Settlement,"STW,ST2,ST1",0,10,100,USD,"$100 x Index","points",1,10,SSVSSVSSVSSV,1997-01-09,2020-11-04,"","14:15 - 13:45",,"",1,0,1,0,1,
486,0,486,STF,STF,TF,SGX,"SICOM TSR20 Rubber",,Settlement,"",1,0.5,50,USD,"5000 kg","USD 0.01/kg",10,5,VVVVVVVVVVVV,1997-07-25,2021-08-11,"","07:55 - 18:00",,"",2,0,1,0,1,4753
